Company Name,Funder,Donation Amount,Year,"Type of Donations: (gift, sponsored projects...) ",Columbia school?,Which Specific Columbia Program?,Source,Notes
ExxonMobil,ExxonMobil,"50,000.00",2017,,SIPA,CGEP,https://web.archive.org/web/20240710043353/https://corporate.exxonmobil.com/-/media/global/files/worldwide-giving/2017-public-policy-worldwide-giving.pdf,
ExxonMobil,ExxonMobil,"25,000.00",2018,,SIPA,CGEP,https://web.archive.org/web/20240418120303/https://corporate.exxonmobil.com/-/media/Global/Files/worldwide-giving/2018-Worldwide-Giving-Report.pdf,
ExxonMobil,ExxonMobil,"20,000.00",2018,,SIPA,CGEP,https://web.archive.org/web/20240418120303/https://corporate.exxonmobil.com/-/media/Global/Files/worldwide-giving/2018-Worldwide-Giving-Report.pdf,for India-U.S. Roundtable 
ExxonMobil,ExxonMobil,"250,000.00",2020,,SIPA,CGEP,https://web.archive.org/web/20231005105748/https://corporate.exxonmobil.com/-/media/Global/Files/worldwide-giving/2020-Worldwide-Giving-Report.pdf,
ExxonMobil,ExxonMobil,"250,000.00",2021,,SIPA,CGEP,https://web.archive.org/web/20240808063835/https://corporate.exxonmobil.com/-/media/global/files/worldwide-giving/2021-worldwide-giving-report.pdf,
ExxonMobil,ExxonMobil,"200,000.00",2021,,SIPA,CGEP,https://web.archive.org/web/20210604103628/https://www.energypolicy.columbia.edu/about/partners,selected lower bound of $200k/year or $500k aggregate
ExxonMobil,ExxonMobil,"250,000.00",2022,,SIPA,CGEP,https://web.archive.org/web/20240430124722/https://corporate.exxonmobil.com/-/media/global/files/worldwide-giving/2022-worldwide-giving-report.pdf,
ExxonMobil,ExxonMobil,"250,000.00",2023,,SIPA,CGEP,https://web.archive.org/web/20231005152943/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
ExxonMobil,ExxonMobil,"250,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
ExxonMobil,ExxonMobil,"200,000.00",2014,,Trustees of Columbia University,,https://www.politico.com/blogs/on-media/2015/11/exxonmobil-climate-change-ethics-allegations-columbia-university-216287,
ExxonMobil,ExxonMobil,"212,777.00",2017,,Trustees of Columbia University,,https://web.archive.org/web/20230311173119/https://corporate.exxonmobil.com/-/media/global/files/worldwide-giving/2017-higher-ed-worldwide-giving.pdf,ExxonMobil Educational Matching Gift Program
ExxonMobil,ExxonMobil,"235,034.00",2018,,Trustees of Columbia University,,https://web.archive.org/web/20240418120303/https://corporate.exxonmobil.com/-/media/Global/Files/worldwide-giving/2018-Worldwide-Giving-Report.pdf,ExxonMobil Educational Matching Gift Program
ExxonMobil,ExxonMobil,"175,293.00",2019,,Trustees of Columbia University,,https://web.archive.org/web/20240410013803/https://corporate.exxonmobil.com/-/media/Global/Files/worldwide-giving/2019-Worldwide-Giving-Report.pdf,ExxonMobil Educational Matching Gift Program
ExxonMobil,ExxonMobil,"148,325.00",2020,,Trustees of Columbia University,,https://web.archive.org/web/20231005105748/https://corporate.exxonmobil.com/-/media/Global/Files/worldwide-giving/2020-Worldwide-Giving-Report.pdf,ExxonMobil Educational Matching Gift Program
Hess,Hess Foundation Inc,"2,500.00",2005,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/display_990/221713046/2006_09_PF%2F22-1713046_990PF_200511,
Hess,Hess Foundation Inc,"800,000.00",2005,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/display_990/221713046/2006_09_PF%2F22-1713046_990PF_200511,
Hess,Hess Foundation Inc,"25,000.00",2005,,Business School,,https://projects.propublica.org/nonprofits/display_990/221713046/2006_09_PF%2F22-1713046_990PF_200511,
Hess,Hess Foundation Inc,"405,000.00",2005,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/221713046/2006_09_PF%2F22-1713046_990PF_200511,
Hess,Hess Foundation Inc,"5,000.00",2006,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/display_990/221713046/2007_08_PF%2F22-1713046_990PF_200611,
Hess,Hess Foundation Inc,"1,050,000.00",2006,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/display_990/221713046/2007_08_PF%2F22-1713046_990PF_200611,
Hess,Hess Foundation Inc,"25,000.00",2006,,Business School,,https://projects.propublica.org/nonprofits/display_990/221713046/2007_08_PF%2F22-1713046_990PF_200611,
